relative_path	id	source_text_sha256	zh_cn	kind	note
assets/data_spec/adv/game/scr/localized/020_２００５年１２月０１日（木）_021_格納庫にて.egpack	game_t00301_ruby	03EA9624E56CCAB17E40D6FAE86072527EF88EFF4E55D87BF2095240CB3496EB	士兵:我们	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/030_２００５年１２月０２日（金）_032_食堂.egpack	game_t00601_ruby	CBC34015807F3BB6090C6EE6B5B9415EF42682B2848ECAF64340D379E1F7C865	出击:・・	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/030_２００５年１２月０２日（金）_036_丘の上で柚香、エレンと.egpack	game_t00976_ruby	CA63ED9AEE17249CEDCEA91F968687235CA7745C0F40F06D0F54E6A1F0B64347		ruby	译文正文已表达此读音／同义表述，不在中文上方重复日文注音。
assets/data_spec/adv/game/scr/localized/030_２００５年１２月０２日（金）_036_丘の上で柚香、エレンと.egpack	game_t01072_ruby	3796B109A3FA125ED650337D8D0F800B3F1AB8D8F6CAE93EC4675FE6B9A47476	那方面:・・・	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/050_２００５年１２月０４日（日）_051_米軍ＶＳ仏軍.egpack	game_t01248_ruby	AA27FA57A539D900E248633A388506D9F511D4FB9946ADC15AC225909DB7B689	电波欺瞒:箔条;红外线干扰:热焰弹	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/070_２００５年１２月０７日（水）_070_悪夢　尊厳.egpack	game_t01944_ruby	AAF91B34B71834533C0D853B6DA3D92B3F2EABAFDB7D27E9FABA82FD091FA589		ruby	译文正文已表达此读音／同义表述，不在中文上方重复日文注音。
assets/data_spec/adv/game/scr/localized/070_２００５年１２月０７日（水）_070_悪夢　尊厳.egpack	game_t01945_ruby	FE5D1346AC61EE1CE0F9C496E5A08C573EFEEFD6AB7206C8A07408932EA3DCF9		ruby	译文正文已表达此读音／同义表述，不在中文上方重复日文注音。
assets/data_spec/adv/game/scr/localized/110_２００５年１２月１１日（日）_111_同時刻・律子と雫.egpack	game_t03191_ruby	F10D86B30C6A00FF5DB385C3F1B21FA03BC6A9A48A52B1320C5D1835B08BCC7A		ruby	译文正文已表达此读音／同义表述，不在中文上方重复日文注音。
assets/data_spec/adv/game/scr/localized/110_２００５年１２月１１日（日）_111_同時刻・律子と雫.egpack	game_t03234_ruby	CA63ED9AEE17249CEDCEA91F968687235CA7745C0F40F06D0F54E6A1F0B64347		ruby	译文正文已表达此读音／同义表述，不在中文上方重复日文注音。
assets/data_spec/adv/game/scr/localized/120_２００５年１２月２２日（木）_121_レセプション・ウォーケン登場.egpack	game_t03799_ruby	8CE40B76D28B09E407737A267105CD3B0048004015BBA613B52CCC58DF88FA9A	是否非少校不可:・・・・・・・	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/120_２００５年１２月２２日（木）_127_ブリーフィングルームにて作戦説明.egpack	game_t04081_ruby	85823AC9CB615DEA025A244EF27285AE54941B32EA3B394D3613297E1298AE6D	美国海军特种部队:海豹突击队	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/120_２００５年１２月２２日（木）_129_同時刻：米軍サイド.egpack	game_t04278_ruby	F5558BC138DC09A42DB1AB7F240A18D15379AE7405F27850C4A71A388C65A75D	不参加战斗:・・・・・	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/120_２００５年１２月２２日（木）_134_窮地.egpack	game_t04408_ruby	4F8DBFCF6DC4690E53245FAE51577DD7522511983D56A2F65F06D79A893BD6D5		ruby	译文正文已表达此读音／同义表述，不在中文上方重复日文注音。
assets/data_spec/adv/game/scr/localized/120_２００５年１２月２２日（木）_140_まりもと合流.egpack	game_t04619_ruby	DC273FC2D5C5D667DE8754A2482129A8B83A95D8F1B9A34B329FAC9C528C93C7		ruby	译文正文已表达此读音／同义表述，不在中文上方重复日文注音。
assets/data_spec/adv/game/scr/localized/150_２００５年１２月２４日（土）_152_格納庫にて待機する響.egpack	game_t05167_ruby	B92A5382475B4C6CFC361E1ABF65212B77409402477EA7C9FDF51D5816FFDC46	日美关系:・・・・	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/150_２００５年１２月２４日（土）_152_格納庫にて待機する響.egpack	game_t05235_ruby	6F752ACDD11E537DD3CBAE21DB9DF23241E312FA2DCF41081D9F6D8EE5F1C969	家:・	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/150_２００５年１２月２４日（土）_157_悠陽宿舎にて密談.egpack	game_t05416_ruby	D08DB8F2AE00DB485EE50F6DF11D2B5682CB238D26867709617D439502CE0A94	尤其是现在:・・・・・	ruby	按对应中文正文重新定位，保留术语别称、语义注释或强调点。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00000	CE39D27C79F2657A576F67CF1AECFBCD671777E4758DBD8F23E014612B593BA7	神宫司少校	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00001	8935A670285C007E05DD146F70C0D66080FFFBBCF005B3D1A2A60B3EA31BA156	艾恩赛德上尉	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00002	1F15745ACF1CEB938A797B2DE33ED324026CCCECAB2C7E132C7A477D9CFC0D79	新闻播音员	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00003	0C44C97C06AE2FB0F82943F3532D67870FB02E1FA783B7E77CB1CE7A25020A88	阿曼达	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00004	B3BC34364FFF1D8CCBD49E7024AEBE13EFF250D6D51B35422FEDD820095EC8CF	安娜	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00005	F4B8ADF5B8610E65F5C199479FE50257D3C7885282B95B161BBF9A8E99999CC7	沃肯少校	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00006	854E8A947CA22534B9FB187D6252A0F162D83A3BC89DE2AEEF860E0FE3E78EC9	艾伦	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00007	C922B102BE3FCAC4E528BD217A2479519D7E5523340143887568964EB7E46588	艾伦·柚香	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00008	E374D449C572F415C331298E0BEB787A86EB8C3CD4B4F5471145B48D928F68BB	艾伦·雫	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00009	A41330DD91031ECEA49D94F97C20A9830B7751F4EB2CF7580EBC6D77C22E27B6	艾伦·雫·松风	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00010	988D8FD9D8F873554682571BC70B7F498D4C6CF4E0B60A882D15CA647001BB2F	操作员	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00011	7C3D63B720A0A35680DC540CD507EB382B3E72454999FEF81CE9C358238CCD11	加拿大军卫士	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00012	31BDC5E1D73CC4B979084D207D35DCC8D299FBE9F4BB484A027A6F2C1A891933	摄影师	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00013	F668DDB4552170E72796A118DD7A6E249DDB318E5EAABACCC02A5517831B2547	盖斯克朗少校	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00014	3EEEC23537ABAD64E9DBC976B9C452F141D73A40653645B602D79B209E1AF6C5	抗议者	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00015	BFFE40606A1405B100D17C5A4FE9D2D866B2F97AA1601EC3115E11D4EB9E89B2	夜枭飞行队	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00016	01FDDD1833F015AF7E05F0C859F954AAA4DFA517C7296E174771C6C4F065CC98	希尔中尉	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00017	1A001D9BFE637BFB129E88CCDBE8493829B76019A9660FC05D6ED0848065FB48	法军上尉	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00018	83BD4043809B53C1C53381FBD6E9A2F6A554833A0557EC9238A3705688FB31A4	法军少校	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00019	62C917B205DEBBC0849B5225C1DC57761148C30D75E4A39851F0749B43D10893	法国卫士	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00020	AD5EDD9E9FF8EFE031FD0C552D5A396DFB96C3F4D921347F5BCB960F9A8880EC	法军指挥所	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00021	05F62D39404394F998B4021E2563162410D04552242FF5A61BB5A1A346A89F69	黑刀队	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00022	DDA219EA38BD6B29E26FD858F851602EB5F4BF9DA3C6ED2992CF0251CD85A1EA	拳师号操作员	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00023	4F35882C45049F61E01CE149FCA5395D3B1C475EDB36C69805A9E2BD14353ABE	麦圭尔准将	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00024	50727F133AED785C87D56DEE5519B155C85AF8BF829245DF3797D52F614FD5EB	莉莉娅	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00025	19797ABF2D441477684B277E5589D74F9E9A9B5B452B09375ABA66FDBA5F5F68	记者	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00026	F46DD7323CCB7C34E36DB1325E1A05F42D03FF0A74D19949BE51F5E167E39ECD	众人	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00027	9557F2FD04BA065F66C27A9CABDE2361CA669C6DD8000136551B9C9E7E73A198	一郎	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00028	C281A2E5450CB6E0B99B46ABE9983C1F1732104DD7851E52D10D942736F0798F	事务官	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00029	F9C30F174F8714DC4D6129B25A2BF526550DD4981CDCA5C819B32A0554A1AED9	亲信	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00030	94C0BBA551FD05795FE118451ECFCE15777638495BE600A295B38EFD6ED1E6C2	亲信们	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00031	8FBB183DF9CB2873CC42FE7A1D2AA577EB35753D872A0CD7FDEADD2E63AF9ACF	士兵	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00032	786AC95C4540F2BA9046B3AC7F9928F2D668B348FA808A877D0AE95DF1961C05	副长	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00033	E5CE5F6DA7BD985EAE57A2903D5CE7FFF2CF64155FF389C34DAECCF64FB70B5D	护士	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00034	E36C45C106C999D6B9AE6254A7337313D4FC968D3C4236FB4C3D3717826BAD89	工人	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00035	9E4E8E91BA34B2043EB629246C7C401D978D880B1B1CF8973AC726EC5E59B4A9	工人们	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00036	C57C636BE794458B7874852819663CF06E7E993942DAF9A3156F6E4147CA9BDF	军医	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00037	5D9BEAE94848C5443F9AD49D4CB93AD0FA0B79BB6534D2C68429B87211590128	派对客人	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00038	C4B7DC88E035A52ACBF888378028FD6FA4D13126AE98165D208D14F8AC66A5BA	古手川老师	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00039	387AF7570ADAB5429E527A601B287E96DEBB28AF47F1FE5D6DF031A66DAE4F21	主持人	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00040	73CC46ED2C647669E42CFDF7DDE132EEF8A2A4850EE9E9AF6FF0FAD713C5BB69	和美	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00041	693E132F27EB39E775935C3D48E7729D35F038DC01B353B7EAE2912B29A23D2C	声音	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00042	91D7FDBBA5E620C6E988A1D2388734B4E9F171B364A48772FC1F8A76CD4E53FD	大和号操作员	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00043	4252DF6BC13FC1D8D1FE70591F1C8DC49A7A8AE9CD09CD179193E8C6614E695A	大和号舰长	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00044	0AB4610B9257C2985566C82D624C1ADF36C03B9949398A544728B4021BDF779D	女性	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00045	E9291C8A0748FB406D1AE76437CCC344D22663FC8E7655D635243E99698848BB	女孩	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00046	4A2EA14E38250F040C5E76C16E423C80BE423161E1897618299567352F9AF910	女卫士	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00047	8A7F088A94B0A776B60505D92F8DC9EDE30FC804F83E65B768D8F2720C8FE1A5	女卫士1	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00048	1E0FB7BAD2B35DEB01C470306458ACBA02CE5D080DFB8DF904FF671ACC164732	孩子	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00049	6B3DD0D7AECCADA2286632F1C968D47B853CFB19A573C947825C9B91AD9B6231	寺本	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00050	17AE7432142DFE474890B0D0546DD92B6C74AB233B5350DC9E4E4D1D38E5E3F9	巴少尉	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00051	58A3651D5DD1DBC029A238C1FC504377A5ECD620E2D9128ED4611835573EBCEF	市民	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00052	5C4BEEB5E3445174D51D5EF7ADC02700B93CD0B826CDE8D913259DEF22D37BF4	帝国欧洲远征军	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00053	5C6DA5034BB542818965F19549C023A4BA90EC92EEEAB391CCED65EDC6808373	帝国卫士	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00054	AA6A345E69D400DC6996848E455217DF3578CD0ABFF102D0F97929BB8073D025	帝国卫士们	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00055	B6DECF9E3ED84591EB1E9EAA56A55A4A819F099B9BDDC0B52923567634282D21	帝国将军	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00056	8C0395F3A48658B369FC6149C387B92DA3F783ADBFD2DF749E2421489EEFD936	帝国军卫士	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00057	BFB97BCBBFEF000DF78518C77B9036A41DDA8F8F94F10E0D86AE419B8193D0EB	帝国指挥部操作员	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00058	2C528949BDE1E72FD064E77A37A14C3AB2570E94A2F6082C1565E448CCE0A6A5	帝国HQ操作员	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00059	27583CF0ADCE4FC8A450B25391737CAA4BF1CE9DB960327A2015B9BDE32DC7B2	公关军官	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00060	C38F1294E2A122F88F3EB29305EBB83282BFA6A4776DAC726F6EE023AF2A4F84	大上中尉	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00061	93485A26F423AE1A453BB359F9E5F0DD6C4D86D063AA0DF70C4EF042E22575C1	悠阳殿下	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00062	B73EED78560E031210DA82A68E0AD21B78B2472E7281E33D527842F57A76B115	戎少尉	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00063	EACDCD2211231C75189829ADF2A243BD0A708D5BEC562F624D53B20154559DD2	坦克兵	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00064	CB7770FCF596D225A65FDDFF3BFE0BECBCD13EAE3491D2DDB55BEE071AB88D57	值班军官	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00065	8ACB40C2E4AC8FD7907A2840FF43623EC259601A8267E6B19515B2B5958F2237	整备班长	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00066	BF726A74993D4D425347887A3AA2A7062AFEA13D30D5657C56E5A5631C01BA42	斑鸠	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00067	799934E1316749DA6C772B8BB064563B9890D15E6814BA0E94DF4998C94226DE	斯卫卫士	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00068	641DCD5817E5DB0F9DE02E47073BEB03B69F04B38812933E8ADF5C7B58A958D1	帝国日本军官	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00069	0AA6334B4F85F8B734D4E877E9AD2A30797FDCA519A88F6AD6966C1708CBDDF1	月咏中尉	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00070	9E5B116A1A5F75143CC3312F6F5ED7E61BB8BDD498898C532D60C504C251C853	松风	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00071	84C1011AFC25C5BEFC76DC6C9E6CD42E86F2B0F07CA55D4AA3B1B8A9E017D831	柚香	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00072	EF569837B5FAA6B76F5D5BB2889C5AFB0B165EE83145AA50B3CE491B3EDBB8EC	柚香·艾伦	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00073	D0E262906575619798191C476A13CA817D45AA32EA129B740594F46A9E8CAD19	柚香·艾伦·雫	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00074	064810B12E3A4D31B5AED7D9257A1AD0D215A883485F0E967E078A0B1179487B	楠本	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00075	2BF3E9166EEA9EC3A862D0E4F75E65D0F666F7ADF8DE467FC158B0C53A725CD5	欧洲远征军卫士	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00076	CC087AF53B914E501FB17BBD6F8B74025AE9AABF3A35B7A5802FB9A7B6484BBE	浅葱	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00077	4E79758A990062236C2FF22C15EAB6E2E3190610EA6C0F2267637515A2A41EC8	男人	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00078	A9C4F3D98F2412E195814E85FC5A2D0AEA8D2B051C637B825041FE2A25CAB749	男孩	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
assets/data_spec/adv/game/scr/localized/__speakers__.egpack	game_s00079	12B0D046686C666C471EA9E17D2F1BBDC336865C792981BAE1195B927118BDD5	监察官	speaker	核对原版角色标签；沿用人名，统一中文军衔和同名职务。
