source_relative	source_sha256	source_kind	zh_cn
assets/data_spec/adv/game/chr/01TDA_710_オブジェクト/990_プレストーリーテロップ/TDA_１話プレストーリーテロップ_01 ＢＥＴＡ大戦.webp	C9F75B026502B45643BED464513689A4DB8DC964193F81F0970D887E26C1004C	native_japanese_image	BETA 大战
assets/data_spec/adv/game/chr/01TDA_710_オブジェクト/990_プレストーリーテロップ/TDA_１話プレストーリーテロップ_02 西暦1973.webp	937CA107E4A2F2E5D9C6CDC875C08E687E8136122A895BE7F72C69894257FFEE	native_japanese_image	——始于1973年的BETA地球侵略势头不减|人类节节败退，被迫不断撤退
assets/data_spec/adv/game/chr/01TDA_710_オブジェクト/990_プレストーリーテロップ/TDA_１話プレストーリーテロップ_03 国土を追われた.webp	D3F73C422E06A663EC0BE360572F2235FD81B7E3995BA42B161EB879663F32F8	native_japanese_image	被逐出国土的列强将生产基地乃至整个国家迁往欧亚大陆之外
assets/data_spec/adv/game/chr/01TDA_710_オブジェクト/990_プレストーリーテロップ/TDA_１話プレストーリーテロップ_05 それもままならぬ国.webp	86C6E639A08D5CAA77A55347E5163BA6D87093A80CF833155D3B96B1EBBBA728	native_japanese_image	连这也无法做到的国家，其人民则在联合国旗下投身于绝望的战斗
assets/data_spec/adv/game/chr/01TDA_710_オブジェクト/990_プレストーリーテロップ/TDA_１話プレストーリーテロップ_06 そして西暦２００４.webp	F562818A374015DA1505191F76289BCF9698D84D9362BEDAC48A4C7ECB252ADA	native_japanese_image	而后，2004年2月——
assets/data_spec/adv/game/chr/01TDA_710_オブジェクト/990_プレストーリーテロップ/TDA_１話プレストーリーテロップ_08 ――その名を『バビロン作戦』.webp	AB7C6E35FAE19F72672A9118C35D74FA3ECE8FAC56CD5567F9B15AEBD611448E	native_japanese_image	——其名为「巴比伦作战」
assets/data_spec/adv/game/chr/01TDA_710_オブジェクト/990_プレストーリーテロップ/TDA_１話プレストーリーテロップ_09 選ばれし十数万人.webp	C1D3FC728B84C709A4E706F4946EE16D53E71EB62138B52BBBBE87CD294C7CCD	native_japanese_image	搭载十数万名被选中者的移民船团启程前往巴纳德星系|与此同时，五次元效应炸弹——通称G弹——的集中使用|一扫地球上所有巢穴的地表构造物|人类的胜利似乎已近在眼前
assets/data_spec/adv/game/chr/01TDA_710_オブジェクト/990_プレストーリーテロップ/TDA_１話プレストーリーテロップ_10 だが、Ｇ弾の一斉起爆.webp	7D896715472BD4FCD8EA5C500D17DB1B0DB9468CA2C8134FD969B5B8793023C0	native_japanese_image	然而，疑因G弹同时引爆而产生的大规模重力异常|使「巴比伦作战」改名为「巴比伦灾害」
assets/data_spec/adv/game/chr/01TDA_710_オブジェクト/990_プレストーリーテロップ/TDA_１話プレストーリーテロップ_11 重力異常によって.webp	E6A3C7D9A7A1F957F79E832505229B564D0282EA3AF2F569E17E2B4005C62BE8	native_japanese_image	因重力异常而偏移的海水化为巨大海啸，吞没了欧亚大陆
assets/data_spec/adv/game/chr/01TDA_710_オブジェクト/990_プレストーリーテロップ/TDA_１話プレストーリーテロップ_12 安全だった筈の他.webp	C777C703EED9E28B90AFECCE6DA0ABEC89F9C188E46BCB0E0D1F7682B74475CC	native_japanese_image	本应安全的其他大陆也遭遇大气压骤降，化为死亡世界
assets/data_spec/adv/game/chr/01TDA_710_オブジェクト/990_プレストーリーテロップ/TDA_１話プレストーリーテロップ_13 かつて海底だった大地.webp	50EA4786865EFA172A016600AA56A90407223A0E12E1E151821E3639EA5D274F	native_japanese_image	昔日海底露出地表后，大量盐分随风深入内陆|从那些侥幸逃过BETA侵略与巴比伦灾害的少数土地上|无情地夺走了绿色
assets/data_spec/adv/game/chr/01TDA_710_オブジェクト/990_プレストーリーテロップ/TDA_１話プレストーリーテロップ_14 バビロン作戦に展開.webp	31196CA0B07CBAE2D88FF380D855C131486BE298CD90E6E1E3AF1F8009D400AF	native_japanese_image	以参加巴比伦作战的各国部队为中心，少数逃出欧亚大陆的幸存者|踏上了面目全非的地球，寻找新的定居之地
assets/data_spec/adv/game/chr/01TDA_710_オブジェクト/990_プレストーリーテロップ/TDA_１話プレストーリーテロップ_15 だが.webp	B9CEA62C280231927213343F23745C8C02754C5C3E4C491F42698A41E4CC105C	native_japanese_image	然而
assets/data_spec/adv/game/chr/01TDA_710_オブジェクト/990_プレストーリーテロップ/TDA_１話プレストーリーテロップ_16 人類の前に再び.webp	A36D667721B824CE488CA6F821910BC887936DB968E62DBD20F928EF2CEAA674	native_japanese_image	BETA再次出现在人类面前
assets/data_spec/adv/game/chr/01TDA_710_オブジェクト/990_プレストーリーテロップ/TDA_１話プレストーリーテロップ_17 必ずや緑の地球を.webp	DC7225BB360CE1DA41C576A03B0912D70A3E76EC2D6B8204EF936CD0EDC024A3	native_japanese_image	一定要让绿色的地球复苏
assets/data_spec/adv/game/chr/01TDA_710_オブジェクト/990_プレストーリーテロップ/TDA_１話プレストーリーテロップ_18 ――宇宙に発った者達.webp	4784CECE4EE11FCE4FEA1CA2688EE6AC71BDDF5922A43362C5C4F60333C211E2	native_japanese_image	——曾向奔赴宇宙的人们如此起誓的幸存者，陷入了更加严酷的处境
assets/data_spec/adv/game/chr/01TDA_710_オブジェクト/990_プレストーリーテロップ/TDA_１話プレストーリーテロップ_19 ――そして、生存可能な.webp	0F572635DE859880D630DC73BCDDB3A24AAEA4AB097006CF3256B1860BA9F8D3	native_english_image_japanese_slot_transparent	如今，幸存的人类为了争夺|地球上所剩无几的宜居土地，|再度燃起战火。
