id	source_text_sha256	zh_cn	reason
game_t00052_ruby	44DB8DC52E37FF611DC120ACC033FBFD4B6310069EFB13FA1169926600363264		Empty-reading/quotation marker; Chinese body already carries the translated phrase and its prose or quotation emphasis.
game_t00087_ruby	1BD47E7255AE4C537000C7ECF9D09129FE5822142A011630FD2DD7C3A0A60E7D		Empty-reading/quotation marker; Chinese body already carries the translated phrase and its prose or quotation emphasis.
game_t00088_ruby	99BC5B9540C3DD89D23D3574398BFD4134448B10B8AC27A96E8132F6352E7576		Empty-reading/quotation marker; Chinese body already carries the translated phrase and its prose or quotation emphasis.
game_t00121_ruby	24ECC3AE41E1F64C6AC68EA8FCBF87B765016CA3C93BE9FE514D3346E79B15AC	明明大家都是高中生:・・・・・・・・・	Retarget emphasis dots to exact Chinese body substring.
game_t00148_ruby	1BD47E7255AE4C537000C7ECF9D09129FE5822142A011630FD2DD7C3A0A60E7D		Empty-reading/quotation marker; Chinese body already carries the translated phrase and its prose or quotation emphasis.
game_t00149_ruby	99BC5B9540C3DD89D23D3574398BFD4134448B10B8AC27A96E8132F6352E7576		Empty-reading/quotation marker; Chinese body already carries the translated phrase and its prose or quotation emphasis.
game_t00197_ruby	C30B0715A0953A84BAA77A923B4131CA8E2E7994DD8AFD64DA679C5B1CDF767F		Empty-reading/quotation marker; Chinese body already carries the translated phrase and its prose or quotation emphasis.
game_t00203_ruby	2B399A7436C879493D33F21A0D5F893645D78BB63B769574E2BBCFD9FEEC8AD0		Empty-reading/quotation marker; Chinese body already carries the translated phrase and its prose or quotation emphasis.
game_t00208_ruby	04B96E3C8A6395C19585B2CA205C0587B1B04905C7DEE5499FF7323C7E018123		Empty-reading/quotation marker; Chinese body already carries the translated phrase and its prose or quotation emphasis.
game_t00232_ruby	3A72C81422B1CB6A38F67B0B3E4DAE7161C57DB7F06DF447B11B0FBCCB3EDE4A		Empty-reading/quotation marker; Chinese body already carries the translated phrase and its prose or quotation emphasis.
game_t00233_ruby	07B83533AC1C92A5191D93B3A6DE48F80C80AED487649F5D24E05E25497A6603	击震:77式	Preserve additional meaning/model/abbreviation; bind to exact Chinese body substring.
game_t00234_ruby	EC6B16DA792795DC8B74CFE46034E53FFEBF5BF37A033D85F7022D81883B59C3		Empty-reading/quotation marker; Chinese body already carries the translated phrase and its prose or quotation emphasis.
game_t00235_ruby	43763CBA2B3E0FD5399554EE289246872ADB03C2B591E58C6CD90873229BB353		Japanese phonetic/loanword reading; meaning is already present in the Chinese body. No Japanese reading in Chinese slot.
game_t00236_ruby	5DA5DCE57852A36BA2858740B34AD34C46F3F328012E467932CD9E4D22651E81		Empty-reading/quotation marker; Chinese body already carries the translated phrase and its prose or quotation emphasis.
game_t00348_ruby	D2C5D069317F5302246F386B599EC9D87379BD5EEBB044A175A4F76830F29CD0	那件事:・・・	Retarget emphasis dots to exact Chinese body substring.
game_t00354_ruby	9DDB37A579DB5B2F8E87987EB5B1B58A54DA6BAA34887B2F3CE33ACEE9CF9FE0		Empty-reading/quotation marker; Chinese body already carries the translated phrase and its prose or quotation emphasis.
game_t00359_ruby	008F1DEE28126A8E7ED7F66EC7568DFCF2062BE33D94ADA958B316E72ECA9BF8		Empty-reading/quotation marker; Chinese body already carries the translated phrase and its prose or quotation emphasis.
game_t00438_ruby	1BD47E7255AE4C537000C7ECF9D09129FE5822142A011630FD2DD7C3A0A60E7D		Empty-reading/quotation marker; Chinese body already carries the translated phrase and its prose or quotation emphasis.
game_t00439_ruby	99BC5B9540C3DD89D23D3574398BFD4134448B10B8AC27A96E8132F6352E7576		Empty-reading/quotation marker; Chinese body already carries the translated phrase and its prose or quotation emphasis.
game_t00477_ruby	D04116EC9535BFD965DA0A3F6A3F63DC2FBEAC25617078DA49ED8CA73EFB8311		Japanese phonetic/loanword reading; meaning is already present in the Chinese body. No Japanese reading in Chinese slot.
game_t00598_ruby	D9FA40B8720591B32D1147A940724E4BB77CCC6FB70B688796824A9ADB93FD6B	敌我识别装置:IFF	Preserve additional meaning/model/abbreviation; bind to exact Chinese body substring.
game_t00600_ruby	D9FA40B8720591B32D1147A940724E4BB77CCC6FB70B688796824A9ADB93FD6B	敌我识别装置:IFF	Preserve additional meaning/model/abbreviation; bind to exact Chinese body substring.
game_t00630_ruby	5984A5DFA3050B522C3BCAC2DFCC677187D903B0D6575E4F973DD50865DB8A19		Empty-reading/quotation marker; Chinese body already carries the translated phrase and its prose or quotation emphasis.
game_t00680_ruby	91BAA851617502968824B81724B91AC64B9EB05714641083A4EAA7DEDCE6D0F4		Empty-reading/quotation marker; Chinese body already carries the translated phrase and its prose or quotation emphasis.
game_t00716_ruby	AFC25888EEB967EBD1551056826289E041100CF1164DEA17A6E0D1BFEEEC2B39		Empty-reading/quotation marker; Chinese body already carries the translated phrase and its prose or quotation emphasis.
