jp	zh_hans
企画/原作/総監修	企划／原作／总监修
企画/原作	企划／原作
シナリオ	剧本
メインシナリオ	主线剧本
サブシナリオ	支线剧本
シナリオ協力	剧本协力
シナリオ監修	剧本监修
キャラクターデザイン	角色设计
キャスト	配音演员
グラフィック総監	美术总监
CG彩色総監	CG 上色总监
演出総監/メインスクリプト	演出总监／主程序脚本
演出総監	演出总监
原画	原画
メカニック原画	机械原画
設定監修/シナリオ監修補佐	设定监修／剧本监修辅助
設定監修/考察	设定监修／考据
演出/スクリプト	演出／程序脚本
CG彩色	CG 上色
メカニックデザイン	机械设计
システムグラフィック	系统界面设计
グラフィック進行管理	美术进度管理
美術設定	美术设定
背景	背景
背景協力	背景协力
エフェクトデザイン	特效设计
メインプログラム	主程序
プログラム	程序
進行管理	进度管理
主題歌	主题曲
オープニング主題歌	片头主题曲
エンディング主題歌	片尾主题曲
音楽主監	音乐总监
音楽主幹	音乐主管
音楽制作	音乐制作
音声収録	配音录制
録音エンジニア	录音工程师
音響ディレクター	音响导演
音響監督	音响监督
キャスティング	选角
音声製作協力	配音制作协力
音声加工	音频后期
プロモーションムービー作成	宣传影片制作
プロモーションムービー制作	宣传影片制作
オープニングムービー制作	片头影片制作
広報	公关
宣伝	宣传
宣伝・広報	宣传／公关
制作	制作
マニュアル製作	说明书制作
WEB製作	网站制作
WEB制作	网站制作
商品管理	商品管理
デバック	程序测试
デバッグ	程序测试
協力	协力
(五十音順)	（按五十音顺序）
フォント協力	字体协力
掲載誌	刊载杂志
スペシャルサンクス	特别鸣谢
Special Thanks	特别鸣谢
(順不同 敬称略)	（排名不分先后，敬称略）
製作総指揮/プロデュース	制作总指挥／制作人
監督	监督
総監督	总监督
英語版スタッフ	英语版制作人员
移植版スタッフ	移植版制作人员
翻訳チームマネージャー	翻译团队负责人
翻訳	翻译
編集	编辑
画像作成	图像制作
チェック	校对
CG調整	CG 调整
演出チェック	演出检查
マーケティング	市场推广
ディレクター	总监
マブラヴ統括プロデューサー	Muv-Luv 系列总制作人
グラフィック	美术
効果音	音效
開発協力	开发协力
スクリプト主幹	程序脚本主管
メインスクリプト	主程序脚本
システムスクリプト	系统脚本
ディフォルメキャラデザイン/原画	Q 版角色设计／原画
ストーリー構成	故事构成
設定	设定
へたれ絵原画	搞怪插画原画
3Dモデル作成	3D 模型制作
楽曲	歌曲
音楽	音乐
音楽プロデューサー	音乐制作人
総合プロデューサー	总制作人
製作総指揮	制作总指挥
アシスタントディレクター	助理总监
プロデューサー	制作人
原画レイアウト	原画构图
演出	演出
スクリプト	程序脚本
アニメーション制作	动画制作
撮影協力	合成协力
戦術機3Dモデル	战术机 3D 模型
設定協力	设定协力
楽曲提供/協力	歌曲提供／协力
音響アシスタント	音响助理
パッケージ・マニュアル製作	包装／说明书制作
ライセンス管理	授权管理
コミカライズ	漫画改编
製作協力	制作协力
テクニカルディレクター	技术总监
プログラム (AGES mkII)	程序（AGES mkⅡ）
テスター	测试人员
プランナー	策划
ホビボックス・オールスタッフ	ホビボックス 全体工作人员
イクストルオールスタッフ	イクストル 全体工作人员
ラジオ トータル・イクリプス スタッフ	广播节目《トータル・イクリプス》制作人员
